n1,n2,beta,s1,s2
3,7,3.5,0.646976499,-0.277275642
4,6,3.5,0.554551285,-0.369700856
5,5,3.5,0.462126071,-0.462126071
1,9,3.55,0.835762814,-0.092862535
2,8,3.55,0.742900279,-0.18572507
3,7,3.55,0.650037744,-0.278587605
4,6,3.55,0.557175209,-0.371450139
5,5,3.55,0.464312674,-0.464312674
1,9,3.6,0.839445815,-0.093271757
2,8,3.6,0.746174058,-0.186543514
3,7,3.6,0.652902301,-0.279815272
4,6,3.6,0.559630543,-0.373087029
5,5,3.6,0.466358786,-0.466358786
1,9,3.65,0.842894742,-0.093654971
2,8,3.65,0.74923977,-0.187309943
3,7,3.65,0.655584799,-0.280964914
4,6,3.65,0.561929828,-0.374619885
5,5,3.65,0.468274856,-0.468274856
1,9,3.7,0.846126738,-0.094014082
2,8,3.7,0.752112656,-0.188028164
3,7,3.7,0.658098574,-0.282042246
4,6,3.7,0.564084492,-0.376056328
5,5,3.7,0.47007041,-0.47007041
1,9,3.75,0.849157459,-0.094350829
2,8,3.75,0.754806631,-0.188701658
3,7,3.75,0.660455802,-0.283052486
4,6,3.75,0.566104973,-0.377403315
5,5,3.75,0.471754144,-0.471754144
1,9,3.8,0.852001226,-0.094666803
2,8,3.8,0.757334423,-0.189333606
3,7,3.8,0.662667621,-0.284000409
4,6,3.8,0.568000818,-0.378667212
5,5,3.8,0.473334015,-0.473334015
1,9,3.85,0.854671161,-0.094963462
2,8,3.85,0.759707699,-0.189926925
3,7,3.85,0.664744237,-0.284890387
4,6,3.85,0.569780774,-0.379853849
5,5,3.85,0.474817312,-0.474817312
1,9,3.9,0.857179307,-0.095242145
2,8,3.9,0.761937162,-0.19048429
3,7,3.9,0.666695016,-0.285726436
4,6,3.9,0.571452871,-0.380968581
5,5,3.9,0.476210726,-0.476210726
1,9,3.95,0.859536731,-0.095504081
2,8,3.95,0.76403265,-0.191008162
3,7,3.95,0.668528569,-0.286512244
4,6,3.95,0.573024487,-0.382016325
5,5,3.95,0.477520406,-0.477520406
1,9,4,0.861753622,-0.095750402
2,8,4,0.766003219,-0.191500805
3,7,4,0.670252817,-0.287251207
4,6,4,0.574502414,-0.38300161
5,5,4,0.478752012,-0.478752012
1,9,4.05,0.863839368,-0.095982152
2,8,4.05,0.767857216,-0.191964304
3,7,4.05,0.671875064,-0.287946456
4,6,4.05,0.575892912,-0.383928608
5,5,4.05,0.47991076,-0.47991076
1,9,4.1,0.865802634,-0.096200293
2,8,4.1,0.769602342,-0.192400585
3,7,4.1,0.673402049,-0.288600878
4,6,4.1,0.577201756,-0.384801171
5,5,4.1,0.481001463,-0.481001463
1,9,4.15,0.867651426,-0.096405714
2,8,4.15,0.771245712,-0.192811428
3,7,4.15,0.674839998,-0.289217142
4,6,4.15,0.578434284,-0.385622856
5,5,4.15,0.48202857,-0.48202857
1,9,4.2,0.869393149,-0.096599239
2,8,4.2,0.77279391,-0.193198477
3,7,4.2,0.676194671,-0.289797716
4,6,4.2,0.579595432,-0.386396955
5,5,4.2,0.482996194,-0.482996194
1,9,4.25,0.871034659,-0.096781629
2,8,4.25,0.77425303,-0.193563258
3,7,4.25,0.677471401,-0.290344886
4,6,4.25,0.580689773,-0.387126515
5,5,4.25,0.483908144,-0.483908144
1,9,4.3,0.872582313,-0.09695359
2,8,4.3,0.775628723,-0.193907181
3,7,4.3,0.678675132,-0.290860771
4,6,4.3,0.581721542,-0.387814361
5,5,4.3,0.484767952,-0.484767952
1,9,4.35,0.87404201,-0.097115779
2,8,4.35,0.776926231,-0.194231558
3,7,4.35,0.679810452,-0.291347337
4,6,4.35,0.582694673,-0.388463116
5,5,4.35,0.485578894,-0.485578894
1,9,4.4,0.875419228,-0.097268803
2,8,4.4,0.778150425,-0.194537606
3,7,4.4,0.680881622,-0.291806409
4,6,4.4,0.583612818,-0.389075212
5,5,4.4,0.486344015,-0.486344015
1,9,4.45,0.876719059,-0.097413229
2,8,4.45,0.77930583,-0.194826458
3,7,4.45,0.681892602,-0.292239686
4,6,4.45,0.584479373,-0.389652915
5,5,4.45,0.487066144,-0.487066144
1,9,4.5,0.877946243,-0.097549583
2,8,4.5,0.780396661,-0.195099165
3,7,4.5,0.682847078,-0.292648748
4,6,4.5,0.585297495,-0.39019833
5,5,4.5,0.487747913,-0.487747913
1,9,4.55,0.879105193,-0.097678355
2,8,4.55,0.781426838,-0.195356709
3,7,4.55,0.683748483,-0.293035064
4,6,4.55,0.586070128,-0.390713419
5,5,4.55,0.488391774,-0.488391774
1,9,4.6,0.88020002,-0.097800002
2,8,4.6,0.782400018,-0.195600005
3,7,4.6,0.684600016,-0.293400007
4,6,4.6,0.586800014,-0.391200009
5,5,4.6,0.489000011,-0.489000011
1,9,4.65,0.881234563,-0.097914951
2,8,4.65,0.783319611,-0.195829903
3,7,4.65,0.68540466,-0.293744854
4,6,4.65,0.587489708,-0.391659806
5,5,4.65,0.489574757,-0.489574757
1,9,4.7,0.8822124,-0.0980236
2,8,4.7,0.7841888,-0.1960472
3,7,4.7,0.6861652,-0.2940708
4,6,4.7,0.5881416,-0.3920944
5,5,4.7,0.490118,-0.490118
1,9,4.75,0.883136876,-0.09812632
2,8,4.75,0.785010557,-0.196252639
3,7,4.75,0.686884237,-0.294378959
4,6,4.75,0.588757918,-0.392505278
5,5,4.75,0.490631598,-0.490631598
1,9,4.8,0.884011118,-0.098223458
2,8,4.8,0.785787661,-0.196446915
3,7,4.8,0.687564203,-0.294670373
4,6,4.8,0.589340746,-0.39289383
5,5,4.8,0.491117288,-0.491117288
1,9,4.85,0.88483805,-0.098315339
2,8,4.85,0.786522711,-0.196630678
3,7,4.85,0.688207372,-0.294946017
4,6,4.85,0.589892033,-0.393261355
5,5,4.85,0.491576694,-0.491576694
1,9,4.9,0.885620406,-0.098402267
2,8,4.9,0.787218139,-0.196804535
3,7,4.9,0.688815872,-0.295206802
4,6,4.9,0.590413604,-0.393609069
5,5,4.9,0.492011337,-0.492011337
1,9,4.95,0.886360751,-0.098484528
2,8,4.95,0.787876223,-0.196969056
3,7,4.95,0.689391695,-0.295453584
4,6,4.95,0.590907167,-0.393938112
5,5,4.95,0.492422639,-0.492422639
1,9,5,0.887061484,-0.098562387
2,8,5,0.788499097,-0.197124774
3,7,5,0.68993671,-0.295687161
4,6,5,0.591374323,-0.394249549
5,5,5,0.492811936,-0.492811936
1,9,5.05,0.887724858,-0.098636095
2,8,5.05,0.789088763,-0.197272191
3,7,5.05,0.690452667,-0.295908286
4,6,5.05,0.591816572,-0.394544381
5,5,5.05,0.493180477,-0.493180477
1,9,5.1,0.888352983,-0.098705887
2,8,5.1,0.789647096,-0.197411774
3,7,5.1,0.690941209,-0.296117661
4,6,5.1,0.592235322,-0.394823548
5,5,5.1,0.493529435,-0.493529435
1,9,5.15,0.88894784,-0.098771982
2,8,5.15,0.790175858,-0.197543965
3,7,5.15,0.691403876,-0.296315947
4,6,5.15,0.592631894,-0.395087929
5,5,5.15,0.493859911,-0.493859911
1,9,5.2,0.889511292,-0.098834588
2,8,5.2,0.790676704,-0.197669176
3,7,5.2,0.691842116,-0.296503764
4,6,5.2,0.593007528,-0.395338352
5,5,5.2,0.49417294,-0.49417294
1,9,5.25,0.890045085,-0.098893898
2,8,5.25,0.791151186,-0.197787797
3,7,5.25,0.692257288,-0.296681695
4,6,5.25,0.59336339,-0.395575593
5,5,5.25,0.494469492,-0.494469492
1,9,5.3,0.890550862,-0.098950096
2,8,5.3,0.791600766,-0.197900192
3,7,5.3,0.69265067,-0.296850287
4,6,5.3,0.593700575,-0.395800383
5,5,5.3,0.494750479,-0.494750479
1,9,5.35,0.891030168,-0.099003352
2,8,5.35,0.792026816,-0.198006704
3,7,5.35,0.693023464,-0.297010056
4,6,5.35,0.594020112,-0.396013408
5,5,5.35,0.49501676,-0.49501676
1,9,5.4,0.891484457,-0.099053829
2,8,5.4,0.792430628,-0.198107657
3,7,5.4,0.6933768,-0.297161486
4,6,5.4,0.594322971,-0.396215314
5,5,5.4,0.495269143,-0.495269143
1,9,5.45,0.891915094,-0.099101677
2,8,5.45,0.792813417,-0.198203354
3,7,5.45,0.69371174,-0.297305031
4,6,5.45,0.594610063,-0.396406709
5,5,5.45,0.495508386,-0.495508386
1,9,5.5,0.892323369,-0.099147041
2,8,5.5,0.793176328,-0.198294082
3,7,5.5,0.694029287,-0.297441123
4,6,5.5,0.594882246,-0.396588164
5,5,5.5,0.495735205,-0.495735205
1,9,5.55,0.892710493,-0.099190055
2,8,5.55,0.793520438,-0.198380109
3,7,5.55,0.694330383,-0.297570164
4,6,5.55,0.595140328,-0.396760219
5,5,5.55,0.495950274,-0.495950274
1,9,5.6,0.893077608,-0.099230845
2,8,5.6,0.793846762,-0.198461691
3,7,5.6,0.694615917,-0.297692536
4,6,5.6,0.595385072,-0.396923381
5,5,5.6,0.496154226,-0.496154226
1,9,5.65,0.89342579,-0.099269532
2,8,5.65,0.794156258,-0.198539065
3,7,5.65,0.694886726,-0.297808597
4,6,5.65,0.595617194,-0.397078129
5,5,5.65,0.496347661,-0.496347661
1,9,5.7,0.893756056,-0.099306228
2,8,5.7,0.794449828,-0.198612457
3,7,5.7,0.695143599,-0.297918685
4,6,5.7,0.595837371,-0.397224914
5,5,5.7,0.496531142,-0.496531142
1,9,5.75,0.894069361,-0.09934104
2,8,5.75,0.794728321,-0.19868208
3,7,5.75,0.695387281,-0.29802312
4,6,5.75,0.596046241,-0.397364161
5,5,5.75,0.496705201,-0.496705201
1,9,5.8,0.89436661,-0.099374068
2,8,5.8,0.794992542,-0.198748135
3,7,5.8,0.695618474,-0.298122203
4,6,5.8,0.596244406,-0.397496271
5,5,5.8,0.496870339,-0.496870339
1,9,5.85,0.894648653,-0.099405406
2,8,5.85,0.795243247,-0.198810812
3,7,5.85,0.695837841,-0.298216218
4,6,5.85,0.596432435,-0.397621624
5,5,5.85,0.497027029,-0.497027029
1,9,5.9,0.894916296,-0.099435144
