n1,n2,beta,s1,s2
4,6,5,0.591374323,-0.394249549
5,5,5,0.492811936,-0.492811936
1,9,5.1,0.888352983,-0.098705887
2,8,5.1,0.789647096,-0.197411774
3,7,5.1,0.690941209,-0.296117661
4,6,5.1,0.592235322,-0.394823548
5,5,5.1,0.493529435,-0.493529435
1,9,5.2,0.889511292,-0.098834588
2,8,5.2,0.790676704,-0.197669176
3,7,5.2,0.691842116,-0.296503764
4,6,5.2,0.593007528,-0.395338352
5,5,5.2,0.49417294,-0.49417294
1,9,5.3,0.890550862,-0.098950096
2,8,5.3,0.791600766,-0.197900192
3,7,5.3,0.69265067,-0.296850287
4,6,5.3,0.593700575,-0.395800383
5,5,5.3,0.494750479,-0.494750479
1,9,5.4,0.891484457,-0.099053829
2,8,5.4,0.792430628,-0.198107657
3,7,5.4,0.6933768,-0.297161486
4,6,5.4,0.594322971,-0.396215314
5,5,5.4,0.495269143,-0.495269143
1,9,5.5,0.892323369,-0.099147041
2,8,5.5,0.793176328,-0.198294082
3,7,5.5,0.694029287,-0.297441123
4,6,5.5,0.594882246,-0.396588164
5,5,5.5,0.495735205,-0.495735205
1,9,5.6,0.893077608,-0.099230845
2,8,5.6,0.793846762,-0.198461691
3,7,5.6,0.694615917,-0.297692536
4,6,5.6,0.595385072,-0.396923381
5,5,5.6,0.496154226,-0.496154226
1,9,5.7,0.893756056,-0.099306228
2,8,5.7,0.794449828,-0.198612457
3,7,5.7,0.695143599,-0.297918685
4,6,5.7,0.595837371,-0.397224914
5,5,5.7,0.496531142,-0.496531142
1,9,5.8,0.89436661,-0.099374068
2,8,5.8,0.794992542,-0.198748135
3,7,5.8,0.695618474,-0.298122203
4,6,5.8,0.596244406,-0.397496271
5,5,5.8,0.496870339,-0.496870339
1,9,5.9,0.894916296,-0.099435144
2,8,5.9,0.795481152,-0.198870288
3,7,5.9,0.696046008,-0.298305432
4,6,5.9,0.596610864,-0.397740576
5,5,5.9,0.49717572,-0.49717572
1,9,6,0.895411376,-0.099490153
2,8,6,0.795921223,-0.198980306
3,7,6,0.69643107,-0.298470459
4,6,6,0.596940917,-0.397960611
5,5,6,0.497450764,-0.497450764
1,9,6.1,0.895857435,-0.099539715
2,8,6.1,0.79631772,-0.19907943
3,7,6.1,0.696778005,-0.298619145
4,6,6.1,0.59723829,-0.39815886
5,5,6.1,0.497698575,-0.497698575
1,9,6.2,0.89625946,-0.099584384
2,8,6.2,0.796675076,-0.199168769
3,7,6.2,0.697090691,-0.298753153
4,6,6.2,0.597506307,-0.398337538
5,5,6.2,0.497921922,-0.497921922
1,9,6.3,0.896621911,-0.099624657
2,8,6.3,0.796997254,-0.199249314
3,7,6.3,0.697372598,-0.29887397
4,6,6.3,0.597747941,-0.398498627
5,5,6.3,0.498123284,-0.498123284
1,9,6.4,0.896948776,-0.099660975
2,8,6.4,0.7972878,-0.19932195
3,7,6.4,0.697626825,-0.298982925
4,6,6.4,0.59796585,-0.3986439
5,5,6.4,0.498304875,-0.498304875
1,9,6.5,0.897243624,-0.099693736
2,8,6.5,0.797549888,-0.199387472
3,7,6.5,0.697856152,-0.299081208
4,6,6.5,0.598162416,-0.398774944
5,5,6.5,0.49846868,-0.49846868
1,9,6.6,0.897509658,-0.099723295
2,8,6.6,0.797786363,-0.199446591
3,7,6.6,0.698063067,-0.299169886
4,6,6.6,0.598339772,-0.398893181
5,5,6.6,0.498616477,-0.498616477
1,9,6.7,0.897749746,-0.099749972
2,8,6.7,0.797999775,-0.199499944
3,7,6.7,0.698249803,-0.299249915
4,6,6.7,0.598499831,-0.398999887
5,5,6.7,0.498749859,-0.498749859
1,9,6.8,0.897966464,-0.099774052
2,8,6.8,0.798192413,-0.199548103
3,7,6.8,0.698418361,-0.299322155
4,6,6.8,0.598644309,-0.399096206
5,5,6.8,0.498870258,-0.498870258
1,9,6.9,0.898162124,-0.099795792
2,8,6.9,0.798366332,-0.199591583
3,7,6.9,0.698570541,-0.299387375
4,6,6.9,0.598774749,-0.399183166
5,5,6.9,0.498978958,-0.498978958
1,9,7,0.898338802,-0.099815422
2,8,7,0.79852338,-0.199630845
3,7,7,0.698707957,-0.299446267
4,6,7,0.598892535,-0.39926169
5,5,7,0.499077112,-0.499077112
1,9,7.1,0.898498366,-0.099833152
2,8,7.1,0.798665215,-0.199666304
3,7,7.1,0.698832063,-0.299499455
4,6,7.1,0.598998911,-0.399332607
5,5,7.1,0.499165759,-0.499165759
1,9,7.2,0.898642496,-0.099849166
2,8,7.2,0.79879333,-0.199698333
3,7,7.2,0.698944164,-0.299547499
4,6,7.2,0.599094998,-0.399396665
5,5,7.2,0.499245831,-0.499245831
1,9,7.3,0.898772702,-0.099863634
2,8,7.3,0.798909069,-0.199727267
3,7,7.3,0.699045435,-0.299590901
4,6,7.3,0.599181802,-0.399454534
5,5,7.3,0.499318168,-0.499318168
1,9,7.4,0.898890345,-0.099876705
2,8,7.4,0.79901364,-0.19975341
3,7,7.4,0.699136935,-0.299630115
4,6,7.4,0.59926023,-0.39950682
5,5,7.4,0.499383525,-0.499383525
1,9,7.5,0.898996649,-0.099888517
2,8,7.5,0.799108132,-0.199777033
3,7,7.5,0.699219616,-0.29966555
4,6,7.5,0.599331099,-0.399554066
5,5,7.5,0.499442583,-0.499442583
1,9,7.6,0.899092717,-0.099899191
2,8,7.6,0.799193526,-0.199798382
3,7,7.6,0.699294335,-0.299697572
4,6,7.6,0.599395145,-0.399596763
5,5,7.6,0.499495954,-0.499495954
1,9,7.7,0.899179544,-0.099908838
2,8,7.7,0.799270705,-0.199817676
3,7,7.7,0.699361867,-0.299726515
4,6,7.7,0.599453029,-0.399635353
5,5,7.7,0.499544191,-0.499544191
1,9,7.8,0.899258025,-0.099917558
2,8,7.8,0.799340467,-0.199835117
3,7,7.8,0.699422908,-0.299752675
4,6,7.8,0.59950535,-0.399670233
5,5,7.8,0.499587792,-0.499587792
1,9,7.9,0.89932897,-0.099925441
2,8,7.9,0.799403528,-0.199850882
3,7,7.9,0.699478087,-0.299776323
4,6,7.9,0.599552646,-0.399701764
5,5,7.9,0.499627205,-0.499627205
1,9,8,0.899393106,-0.099932567
2,8,8,0.799460538,-0.199865135
3,7,8,0.699527971,-0.299797702
4,6,8,0.599595404,-0.399730269
5,5,8,0.499662837,-0.499662837
1,9,8.1,0.899451091,-0.09993901
2,8,8.1,0.799512081,-0.19987802
3,7,8.1,0.699573071,-0.29981703
4,6,8.1,0.599634061,-0.399756041
5,5,8.1,0.499695051,-0.499695051
1,9,8.2,0.899503519,-0.099944835
2,8,8.2,0.799558684,-0.199889671
3,7,8.2,0.699613848,-0.299834506
4,6,8.2,0.599669013,-0.399779342
5,5,8.2,0.499724177,-0.499724177
1,9,8.3,0.899550925,-0.099950103
2,8,8.3,0.799600823,-0.199900206
3,7,8.3,0.69965072,-0.299850308
4,6,8.3,0.599700617,-0.399800411
5,5,8.3,0.499750514,-0.499750514
1,9,8.4,0.899593793,-0.099954866
2,8,8.4,0.799638927,-0.199909732
3,7,8.4,0.699684061,-0.299864598
4,6,8.4,0.599729195,-0.399819464
5,5,8.4,0.499774329,-0.499774329
1,9,8.5,0.899632559,-0.099959173
2,8,8.5,0.799673386,-0.199918346
3,7,8.5,0.699714212,-0.29987752
4,6,8.5,0.599755039,-0.399836693
5,5,8.5,0.499795866,-0.499795866
1,9,8.6,0.899667617,-0.099963069
2,8,8.6,0.799704548,-0.199926137
3,7,8.6,0.69974148,-0.299889206
4,6,8.6,0.599778411,-0.399852274
5,5,8.6,0.499815343,-0.499815343
1,9,8.7,0.899699323,-0.099966591
2,8,8.7,0.799732732,-0.199933183
3,7,8.7,0.69976614,-0.299899774
4,6,8.7,0.599799549,-0.399866366
5,5,8.7,0.499832957,-0.499832957
1,9,8.8,0.899727999,-0.099969778
2,8,8.8,0.799758221,-0.199939555
3,7,8.8,0.699788444,-0.299909333
4,6,8.8,0.599818666,-0.399879111
5,5,8.8,0.499848888,-0.499848888
1,9,8.9,0.899753935,-0.099972659
