beta,group,n_1,n_2,s_1,s_2,stable
3.4000000000000004,,7,1,0.11432106583324628,-0.8002474608327239,False
3.45,,1,7,0.8046281007678254,-0.11494687153826078,True
3.45,,2,6,0.6896812292296657,-0.2298937430765552,True
3.45,,3,5,0.5747343576913262,-0.34484061461479576,False
3.45,,4,4,0.45978748615304404,-0.45978748615304404,False
3.45,,5,3,0.3448406146147806,-0.574734357691301,False
3.45,,6,2,0.22989374307651,-0.6896812292295299,False
3.45,,7,1,0.11494687153831078,-0.8046281007681755,False
3.5,,1,7,0.8087206234099721,-0.11553151762999606,True
3.5,,2,6,0.6931891057800296,-0.2310630352600099,True
3.5,,3,5,0.5776575881499909,-0.34659455288999463,False
3.5,,4,4,0.4621260705199836,-0.4621260705199836,False
3.5,,5,3,0.34659455289493063,-0.5776575881582177,False
3.5,,6,2,0.2310630352599823,-0.6931891057799469,False
3.5,,7,1,0.11553151763002305,-0.8087206234101612,False
3.55,,1,7,0.8125471798590291,-0.11607816855128987,True
3.55,,2,6,0.6964690113077676,-0.23215633710258926,True
3.55,,3,5,0.5803908427564545,-0.34823450565387265,False
3.55,,4,4,0.4643126742051583,-0.4643126742051583,False
3.55,,5,3,0.3482345056561378,-0.5803908427602297,False
3.55,,6,2,0.23215633710257155,-0.6964690113077147,False
3.55,,7,1,0.1160781685513042,-0.8125471798591293,False
3.6,,1,7,0.8161278756715818,-0.1165896965245117,True
3.6,,2,6,0.6995381791470848,-0.2331793930490283,True
3.6,,3,5,0.5829484826225603,-0.3497690895735362,False
3.6,,4,4,0.4663587860980452,-0.4663587860980452,False
3.6,,5,3,0.34976908957453007,-0.5829484826242167,False
3.6,,6,2,0.2331793930490166,-0.6995381791470499,False
3.6,,7,1,0.11658969652451902,-0.8161278756716331,False
3.65,,1,7,0.819480998850682,-0.117068714121526,True
3.65,,2,6,0.7024122847291637,-0.23413742824305456,True
3.65,,3,5,0.5853435706076304,-0.35120614236457826,False
3.65,,4,4,0.4682748564861024,-0.4682748564861024,False
3.65,,5,3,0.3512061423649896,-0.5853435706083161,False
3.65,,6,2,0.2341374282430465,-0.7024122847291394,False
3.65,,7,1,0.11706871412152957,-0.8194809988507069,False
3.7,,1,7,0.8226232175419783,-0.1175176025059969,True
3.7,,2,6,0.7051056150359851,-0.23503520501199499,True
3.7,,3,5,0.587588012529984,-0.35255280751799045,False
3.7,,4,4,0.4700704100239858,-0.4700704100239858,False
3.7,,5,3,0.3525528075181479,-0.5875880125302465,False
3.7,,6,2,0.2350352050119892,-0.7051056150359676,False
3.7,,7,1,0.1175176025059984,-0.8226232175419889,False
3.75,,1,7,0.8255697521434913,-0.11793853602049875,True
3.75,,2,6,0.7076312161229943,-0.2358770720409981,True
3.75,,3,5,0.5896926801024929,-0.3538156080614957,False
3.75,,4,4,0.4717541440819933,-0.4717541440819933,False
3.75,,5,3,0.35381560806154955,-0.5896926801025826,False
3.75,,6,2,0.2358770720409937,-0.7076312161229812,False
3.75,,7,1,0.11793853602049915,-0.825569752143494,False
3.8,,1,7,0.8283345256979024,-0.11833350367112892,True
3.8,,2,6,0.7100010220267738,-0.23666700734225796,True
3.8,,3,5,0.5916675183556434,-0.35500051101338603,False
3.8,,4,4,0.4733340146845139,-0.4733340146845139,False
3.8,,5,3,0.3550005110134013,-0.5916675183556689,False
3.8,,6,2,0.23666700734225454,-0.7100010220267637,False
3.8,,7,1,0.11833350367112873,-0.8283345256979011,False
3.85,,1,7,0.8309302957655875,-0.11870432796651252,True
3.85,,2,6,0.7122259677990749,-0.23740865593302496,True
3.85,,3,5,0.5935216398325615,-0.3561129838995369,False
3.85,,4,4,0.4748173118660483,-0.4748173118660483,False
3.85,,5,3,0.35611298389953955,-0.5935216398325659,False
3.85,,6,2,0.2374086559330223,-0.7122259677990668,False
3.85,,7,1,0.11870432796651202,-0.8309302957655842,False
3.9,,1,7,0.8333687704369677,-0.11905268149099538,True
3.9,,2,6,0.7143160889459718,-0.23810536298199056,True
3.9,,3,5,0.5952634074549756,-0.35715804447298544,False
3.9,,4,4,0.47621072598438596,-0.47621072598438596,False
3.9,,5,3,0.3571580444729851,-0.5952634074549752,False
3.9,,6,2,0.2381053629819884,-0.7143160889459651,False
3.9,,7,1,0.11905268149099472,-0.8333687704369631,False
3.95,,1,7,0.8356607107056384,-0.1193801015293769,True
3.95,,2,6,0.716280609176261,-0.23876020305875365,True
3.95,,3,5,0.5969005076468832,-0.35814030458812995,False
3.95,,4,4,0.4775204061310212,-0.4775204061310212,False
3.95,,5,3,0.3581403045881291,-0.5969005076468819,False
3.95,,6,2,0.2387602030587517,-0.7162806091762551,False
3.95,,7,1,0.11938010152937616,-0.8356607107056331,False
4.0,,1,7,0.8378160210676089,-0.1196880030096584,True
4.0,,2,6,0.7181280180579498,-0.2393760060193166,True
4.0,,3,5,0.5984400151002943,-0.35906400906017666,False
4.0,,4,4,0.4787520120475938,-0.4787520120475938,False
4.0,,5,3,0.3590640090289737,-0.5984400150482894,False
4.0,,6,2,0.2393760060193149,-0.7181280180579448,False
4.0,,7,1,0.11968800300965765,-0.8378160210676036,False
4.050000000000002,,1,7,0.8398438292667776,-0.11997768989525395,True
4.050000000000002,,2,6,0.7198661400297864,-0.2399553800099288,True
4.050000000000002,,3,5,0.5998884499790043,-0.3599330699874026,False
4.050000000000002,,4,4,0.4799107599603107,-0.4799107599603107,False
4.050000000000002,,5,3,0.35993306996577096,-0.5998884499429515,False
4.050000000000002,,6,2,0.23995537997718,-0.71986613993154,False
4.050000000000002,,7,1,0.1199776899885901,-0.8398438299201306,False
4.1,,1,7,0.8417525607626783,-0.12025036582323975,True
4.1,,2,6,0.7215021952915983,-0.2405007317638661,True
4.1,,3,5,0.6012518293773423,-0.3607510976264054,False
4.1,,4,4,0.4810014634857937,-0.4810014634857937,False
4.1,,5,3,0.36075109761138,-0.6012518293523,False
4.1,,6,2,0.24050073174091946,-0.7215021952227584,False
4.1,,7,1,0.12025036587045974,-0.8417525610932183,False
4.15,,1,7,0.8435499974799691,-0.12050714249713845,True
4.15,,2,6,0.7230428551750111,-0.24101428505833705,True
4.15,,3,5,0.6025357126229994,-0.3615214275737997,False
4.15,,4,4,0.4820285700870872,-0.4820285700870872,False
4.15,,5,3,0.3615214275633432,-0.6025357126055718,False
4.15,,6,2,0.2410142850422282,-0.7230428551266845,False
4.15,,7,1,0.12050714252111408,-0.8435499976477984,False
4.2,,1,7,0.8452433388234859,-0.12074904840335512,True
4.2,,2,6,0.7244942905274239,-0.24149809684247464,True
4.2,,3,5,0.6037452420900149,-0.3622471452540089,False
4.2,,4,4,0.4829961936640416,-0.4829961936640416,False
4.2,,5,3,0.3622471452467183,-0.6037452420778637,False
4.2,,6,2,0.2414980968311448,-0.7244942904934344,False
4.2,,7,1,0.12074904841557232,-0.8452433389090063,False
4.25,,1,7,0.8468392515208443,-0.12097703593154918,True
4.25,,2,6,0.7258622156507324,-0.24195407188357745,True
4.25,,3,5,0.6048851796974748,-0.3629311078184849,False
4.25,,4,4,0.4839081437523558,-0.4839081437523558,False
4.25,,5,3,0.3629311078133925,-0.6048851796889874,False
4.25,,6,2,0.24195407187559406,-0.725862215626782,False
4.25,,7,1,0.1209770359377969,-0.8468392515645783,False
4.300000000000002,,1,7,0.8483439155198179,-0.12119198793140255,True
4.300000000000002,,2,6,0.7271519276245617,-0.2423839758748539,True
4.300000000000002,,3,5,0.6059599396789868,-0.363575963807392,False
4.300000000000002,,4,4,0.4847679517392151,-0.4847679517392151,False
4.300000000000002,,5,3,0.3635759638038288,-0.6059599396730481,False
4.300000000000002,,6,2,0.24238397586921795,-0.7271519276076538,False
4.300000000000002,,7,1,0.12119198793195075,-0.8483439155236554,False
4.35,,1,7,0.8497630652707066,-0.12139472361010095,True
4.35,,2,6,0.7283683416824711,-0.2427894472274904,True
4.35,,3,5,0.6069736180629273,-0.3641841708377564,False
4.35,,4,4,0.4855788944475292,-0.4855788944475292,False
4.35,,5,3,0.3641841708352591,-0.6069736180587652,False
4.35,,6,2,0.2427894472235044,-0.7283683416705131,False
4.35,,7,1,0.12139472360997297,-0.8497630652698108,False
4.4,,1,7,0.8511020269320114,-0.1215860038474302,True
4.4,,2,6,0.7295160230981736,-0.2431720076993912,True
4.4,,3,5,0.6079300192443442,-0.3647580115466065,False
4.4,,4,4,0.4863440153934818,-0.4863440153934818,False
4.4,,5,3,0.3647580115448533,-0.6079300192414222,False
4.4,,6,2,0.24317200769656694,-0.729516023089701,False
4.4,,7,1,0.12158600384709285,-0.85110202692965,False
4.45,,1,7,0.8523657519648886,-0.12176653599498408,True
4.45,,2,6,0.7305992159785729,-0.2435330719928576,True
4.45,,3,5,0.6088326799791919,-0.3652996079875152,False
4.45,,4,4,0.4870661439819385,-0.4870661439819385,False
4.45,,5,3,0.3652996079862827,-0.6088326799771379,False
4.45,,6,2,0.2435330719908528,-0.7305992159725584,False
4.45,,7,1,0.1217665359946298,-0.8523657519624086,False
4.5,,1,7,0.8535588475207039,-0.12193697821724342,True
4.5,,2,6,0.7316218693091174,-0.2438739564363725,True
4.5,,3,5,0.6096848910888192,-0.3658109346532916,False
4.5,,4,4,0.4877479128700496,-0.4877479128700496,False
4.5,,5,3,0.365810934652424,-0.6096848910873733,False
4.5,,6,2,0.24387395643494675,-0.7316218693048402,False
4.5,,7,1,0.12193697821694045,-0.8535588475185831,False
4.550000000000002,,1,7,0.8546856039742182,-0.1220979434248883,True
4.550000000000002,,2,6,0.7325876605530961,-0.244195886851032,True
4.550000000000002,,3,5,0.6104897171260666,-0.3662938302756399,False
4.550000000000002,,4,4,0.4883917737001372,-0.4883917737001372,False
4.550000000000002,,5,3,0.3662938302750282,-0.6104897171250471,False
4.550000000000002,,6,2,0.24419588685001614,-0.7325876605500486,False
4.550000000000002,,7,1,0.1220979434246516,-0.8546856039725612,False
4.6,,1,7,0.8557500199107297,-0.12225000284438994,True
4.6,,2,6,0.7335000170688901,-0.24450000568962998,True
4.6,,3,5,0.6112500142229886,-0.3667500085337932,False
4.6,,4,4,0.4890000113778804,-0.4890000113778804,False
4.6,,5,3,0.3667500085333614,-0.6112500142222691,False
4.6,,6,2,0.2445000056889049,-0.7335000170667147,False
4.6,,7,1,0.122250002844214,-0.8557500199094981,False
4.65,,1,7,0.8567558248376136,-0.12239368926251624,True
4.65,,2,6,0.7343621355768484,-0.2447873785256161,True
4.65,,3,5,0.611968446313259,-0.3671810677879554,False
4.65,,4,4,0.4895747570502428,-0.4895747570502428,False
4.65,,5,3,0.3671810677876506,-0.6119684463127509,False
4.65,,6,2,0.2447873785250976,-0.7343621355752928,False
4.65,,7,1,0.12239368926238928,-0.8567558248367249,False
4.7,,1,7,0.8577064998580443,-0.1225294999797206,True
4.7,,2,6,0.7351769998795395,-0.2450589999598465,True
4.7,,3,5,0.6126474998990534,-0.3675884999394321,False
4.7,,4,4,0.4901179999189822,-0.4901179999189822,False
4.7,,5,3,0.3675884999392165,-0.6126474998986942,False
4.7,,6,2,0.2450589999594749,-0.7351769998784249,False
4.7,,7,1,0.12252949997963075,-0.8577064998574154,False
4.75,,1,7,0.8586052965165096,-0.1226578995023585,True
4.75,,2,6,0.735947397015003,-0.245315799005001,True
4.75,,3,5,0.6132894975120965,-0.36797369850725786,False
4.75,,4,4,0.4906315980094904,-0.4906315980094904,False
4.75,,5,3,0.3679736985071053,-0.6132894975118421,False
4.75,,6,2,0.24531579900473424,-0.7359473970142028,False
4.75,,7,1,0.12265789950229572,-0.8586052965160699,False
4.800000000000002,,1,7,0.8594552540012661,-0.12277932200018085,True
4.800000000000002,,2,6,0.7366759320016866,-0.2455586440005622,False
4.800000000000002,,3,5,0.6138966100011118,-0.3683379660006671,False
4.800000000000002,,4,4,0.4911172880007556,-0.4911172880007556,False
4.800000000000002,,5,3,0.3683379660005591,-0.6138966100009319,False
4.800000000000002,,6,2,0.24555864400037025,-0.7366759320011108,False
4.800000000000002,,7,1,0.12277932200013733,-0.8594552540009612,False
4.85,,1,7,0.8602592148676491,-0.12289417355252133,True
4.85,,2,6,0.7373650413155548,-0.2457883471051849,False
4.85,,3,5,0.6144708677627498,-0.3686825206576499,False
4.85,,4,4,0.4915766942101037,-0.4915766942101037,False
4.85,,5,3,0.3686825206575733,-0.614470867762622,False
4.85,,6,2,0.24578834711038275,-0.7373650413311483,False
4.85,,7,1,0.12289417355249127,-0.8602592148674392,False
4.9,,1,7,0.8610198394276357,-0.12300283420394795,True
4.9,,2,6,0.7380170052239922,-0.2460056684079974,False
4.9,,3,5,0.6150141710198392,-0.3690085026119036,False
4.9,,4,4,0.4920113368158021,-0.4920113368158021,False
4.9,,5,3,0.3690085026118493,-0.6150141710197488,False
4.9,,6,2,0.246005668412125,-0.7380170052363749,False
4.9,,7,1,0.12300283420392726,-0.8610198394274907,False
4.95,,1,7,0.8617396189348834,-0.12310565984784047,True
4.95,,2,6,0.7386339590872611,-0.2462113196957537,False
4.95,,3,5,0.615528299239272,-0.3693169795435632,False
4.95,,4,4,0.4924226393913677,-0.4924226393913677,False
4.95,,5,3,0.3693169795435247,-0.6155282992392077,False
4.95,,6,2,0.2462113196990281,-0.7386339590970845,False
4.95,,7,1,0.12310565984782622,-0.8617396189347835,False
5.0,,1,7,0.8624208876803209,-0.12320298395433155,True
5.0,,2,6,0.7392179037261459,-0.24640596790871536,False
5.0,,3,5,0.6160149197717066,-0.369608951863024,False
5.0,,4,4,0.492811935817329,-0.492811935817329,False
5.0,,5,3,0.36960895186299664,-0.616014919771661,False
