beta,n_1,group,s_1,s_2,stable
8.15,1,3.0,0.997,0.0,True
8.15,2,1.0,0.1,0.1,False
8.15,2,3.0,0.49,0.002,False
8.15,3,1.0,0.1,0.1,False
8.15,3,3.0,0.319,0.006,False
8.15,4,1.0,0.1,0.1,False
8.15,4,3.0,0.234,0.01,False
8.15,5,2.0,0.185,0.015,False
8.15,5,1.0,0.1,0.1,False
8.15,6,1.0,0.1,0.1,False
8.15,6,2.0,0.153,0.02,False
8.15,7,1.0,0.1,0.1,False
8.15,7,2.0,0.132,0.024,False
8.15,8,1.0,0.1,0.1,False
8.15,8,2.0,0.118,0.028,False
8.15,9,1.0,0.1,0.1,False
8.15,9,2.0,0.108,0.032,False
8.200000000000001,1,1.0,0.1,0.1,False
8.200000000000001,1,3.0,0.997,0.0,True
8.200000000000001,2,1.0,0.1,0.1,False
8.200000000000001,2,3.0,0.491,0.002,False
8.200000000000001,3,1.0,0.1,0.1,False
8.200000000000001,3,3.0,0.32,0.006,False
8.200000000000001,4,1.0,0.1,0.1,False
8.200000000000001,4,3.0,0.235,0.01,False
8.200000000000001,5,2.0,0.185,0.015,False
8.200000000000001,5,1.0,0.1,0.1,False
8.200000000000001,6,1.0,0.1,0.1,False
8.200000000000001,6,2.0,0.154,0.019,False
8.200000000000001,7,1.0,0.1,0.1,False
8.200000000000001,7,2.0,0.133,0.024,False
8.200000000000001,8,1.0,0.1,0.1,False
8.200000000000001,8,2.0,0.118,0.027,False
8.200000000000001,9,1.0,0.1,0.1,False
8.200000000000001,9,2.0,0.108,0.031,False
8.25,1,1.0,0.1,0.1,False
8.25,1,3.0,0.997,0.0,True
8.25,2,1.0,0.1,0.1,False
8.25,2,3.0,0.491,0.002,False
8.25,3,1.0,0.1,0.1,False
8.25,3,3.0,0.32,0.006,False
8.25,4,1.0,0.1,0.1,False
8.25,4,3.0,0.235,0.01,False
8.25,5,2.0,0.186,0.014,False
8.25,5,1.0,0.1,0.1,False
8.25,6,1.0,0.1,0.1,False
8.25,6,2.0,0.154,0.019,False
8.25,7,1.0,0.1,0.1,False
8.25,7,2.0,0.133,0.023,False
8.25,8,1.0,0.1,0.1,False
8.25,8,2.0,0.118,0.027,False
8.25,9,1.0,0.1,0.1,False
8.25,9,2.0,0.108,0.03,False
8.3,1,1.0,0.1,0.1,False
8.3,1,3.0,0.997,0.0,True
8.3,2,1.0,0.1,0.1,False
8.3,2,3.0,0.491,0.002,False
8.3,3,1.0,0.1,0.1,False
8.3,3,3.0,0.321,0.005,False
8.3,4,1.0,0.1,0.1,False
8.3,4,3.0,0.236,0.009,False
8.3,5,2.0,0.186,0.014,False
8.3,5,1.0,0.1,0.1,False
8.3,6,1.0,0.1,0.1,False
8.3,6,2.0,0.155,0.018,False
8.3,7,1.0,0.1,0.1,False
8.3,7,2.0,0.133,0.022,False
8.3,8,1.0,0.1,0.1,False
8.3,8,2.0,0.119,0.026,False
8.3,9,1.0,0.1,0.1,False
8.3,9,2.0,0.108,0.029,False
8.35,1,1.0,0.1,0.1,False
8.35,1,3.0,0.998,0.0,True
8.35,2,1.0,0.1,0.1,False
8.35,2,3.0,0.492,0.002,False
8.35,3,1.0,0.1,0.1,False
8.35,3,3.0,0.321,0.005,False
8.35,4,1.0,0.1,0.1,False
8.35,4,3.0,0.236,0.009,False
8.35,5,2.0,0.187,0.013,False
8.35,5,1.0,0.1,0.1,False
8.35,6,1.0,0.1,0.1,False
8.35,6,2.0,0.155,0.017,False
8.35,7,1.0,0.1,0.1,False
8.35,7,2.0,0.134,0.021,False
8.35,8,1.0,0.1,0.1,False
8.35,8,2.0,0.119,0.025,False
8.35,9,1.0,0.1,0.1,False
8.35,9,2.0,0.108,0.028,False
8.4,1,1.0,0.1,0.1,False
8.4,1,3.0,0.998,0.0,True
8.4,2,1.0,0.1,0.1,False
8.4,2,3.0,0.492,0.002,False
8.4,3,1.0,0.1,0.1,False
8.4,3,3.0,0.322,0.005,False
8.4,4,1.0,0.1,0.1,False
8.4,4,3.0,0.237,0.009,False
8.4,5,2.0,0.187,0.013,False
8.4,5,1.0,0.1,0.1,False
8.4,6,1.0,0.1,0.1,False
8.4,6,2.0,0.155,0.017,False
8.4,7,1.0,0.1,0.1,False
8.4,7,2.0,0.134,0.021,False
8.4,8,1.0,0.1,0.1,False
8.4,8,2.0,0.119,0.024,False
8.4,9,1.0,0.1,0.1,False
8.4,9,2.0,0.108,0.028,False
8.450000000000001,1,1.0,0.1,0.1,False
8.450000000000001,1,3.0,0.998,0.0,True
8.450000000000001,2,1.0,0.1,0.1,False
8.450000000000001,2,3.0,0.492,0.002,False
8.450000000000001,3,1.0,0.1,0.1,False
8.450000000000001,3,3.0,0.322,0.005,False
8.450000000000001,4,1.0,0.1,0.1,False
8.450000000000001,4,3.0,0.237,0.008,False
8.450000000000001,5,2.0,0.188,0.012,False
8.450000000000001,5,1.0,0.1,0.1,False
8.450000000000001,6,1.0,0.1,0.1,False
8.450000000000001,6,2.0,0.156,0.016,False
8.450000000000001,7,1.0,0.1,0.1,False
8.450000000000001,7,2.0,0.134,0.02,False
8.450000000000001,8,1.0,0.1,0.1,False
8.450000000000001,8,2.0,0.119,0.024,False
8.450000000000001,9,1.0,0.1,0.1,False
8.450000000000001,9,2.0,0.108,0.027,False
8.5,1,1.0,0.1,0.1,False
8.5,1,3.0,0.998,0.0,True
8.5,2,1.0,0.1,0.1,False
8.5,2,3.0,0.493,0.002,False
8.5,3,1.0,0.1,0.1,False
8.5,3,3.0,0.323,0.005,False
8.5,4,1.0,0.1,0.1,False
8.5,4,3.0,0.238,0.008,False
8.5,5,2.0,0.188,0.012,False
8.5,5,1.0,0.1,0.1,False
8.5,6,1.0,0.1,0.1,False
8.5,6,2.0,0.156,0.016,False
8.5,7,1.0,0.1,0.1,False
8.5,7,2.0,0.134,0.02,False
8.5,8,1.0,0.1,0.1,False
8.5,8,2.0,0.119,0.023,False
8.5,9,1.0,0.1,0.1,False
8.5,9,2.0,0.108,0.026,False
8.55,1,1.0,0.1,0.1,False
8.55,1,3.0,0.998,0.0,True
8.55,2,1.0,0.1,0.1,False
8.55,2,3.0,0.493,0.002,False
8.55,3,1.0,0.1,0.1,False
8.55,3,3.0,0.323,0.004,False
8.55,4,1.0,0.1,0.1,False
8.55,4,3.0,0.238,0.008,False
8.55,5,2.0,0.188,0.012,False
8.55,5,1.0,0.1,0.1,False
8.55,6,1.0,0.1,0.1,False
8.55,6,2.0,0.156,0.015,False
8.55,7,1.0,0.1,0.1,False
8.55,7,2.0,0.135,0.019,False
8.55,8,1.0,0.1,0.1,False
8.55,8,2.0,0.119,0.022,False
8.55,9,1.0,0.1,0.1,False
8.55,9,2.0,0.108,0.025,False
8.6,1,1.0,0.1,0.1,False
8.6,1,3.0,0.998,0.0,True
8.6,2,1.0,0.1,0.1,False
8.6,2,3.0,0.493,0.002,False
8.6,3,1.0,0.1,0.1,False
8.6,3,3.0,0.323,0.004,False
8.6,4,1.0,0.1,0.1,False
8.6,4,3.0,0.239,0.008,False
8.6,5,2.0,0.189,0.011,False
8.6,5,1.0,0.1,0.1,False
8.6,6,1.0,0.1,0.1,False
8.6,6,2.0,0.157,0.015,False
8.6,7,1.0,0.1,0.1,False
8.6,7,2.0,0.135,0.018,False
8.6,8,1.0,0.1,0.1,False
8.6,8,2.0,0.12,0.022,False
8.6,9,1.0,0.1,0.1,False
8.6,9,2.0,0.108,0.025,False
8.65,1,1.0,0.1,0.1,False
8.65,1,3.0,0.998,0.0,True
8.65,2,1.0,0.1,0.1,False
8.65,2,3.0,0.494,0.002,False
8.65,3,1.0,0.1,0.1,False
8.65,3,3.0,0.324,0.004,False
8.65,4,1.0,0.1,0.1,False
8.65,4,3.0,0.239,0.007,False
8.65,5,2.0,0.189,0.011,False
8.65,5,1.0,0.1,0.1,False
8.65,6,1.0,0.1,0.1,False
8.65,6,2.0,0.157,0.014,False
8.65,7,1.0,0.1,0.1,False
8.65,7,2.0,0.135,0.018,False
8.65,8,1.0,0.1,0.1,False
8.65,8,2.0,0.12,0.021,False
8.65,9,1.0,0.1,0.1,False
8.65,9,2.0,0.108,0.024,False
8.700000000000001,1,1.0,0.1,0.1,False
8.700000000000001,1,3.0,0.998,0.0,True
8.700000000000001,2,1.0,0.1,0.1,False
8.700000000000001,2,3.0,0.494,0.002,False
8.700000000000001,3,1.0,0.1,0.1,False
8.700000000000001,3,3.0,0.324,0.004,False
8.700000000000001,4,1.0,0.1,0.1,False
8.700000000000001,4,3.0,0.239,0.007,False
8.700000000000001,5,2.0,0.19,0.01,False
8.700000000000001,5,1.0,0.1,0.1,False
8.700000000000001,6,1.0,0.1,0.1,False
8.700000000000001,6,2.0,0.157,0.014,False
8.700000000000001,7,1.0,0.1,0.1,False
8.700000000000001,7,2.0,0.135,0.017,False
8.700000000000001,8,1.0,0.1,0.1,False
8.700000000000001,8,2.0,0.12,0.02,False
8.700000000000001,9,1.0,0.1,0.1,False
8.700000000000001,9,2.0,0.109,0.023,False
8.75,1,1.0,0.1,0.1,False
8.75,1,3.0,0.998,0.0,True
8.75,2,1.0,0.1,0.1,False
8.75,2,3.0,0.494,0.001,False
8.75,3,1.0,0.1,0.1,False
8.75,3,3.0,0.324,0.004,False
8.75,4,1.0,0.1,0.1,False
8.75,4,3.0,0.24,0.007,False
8.75,5,2.0,0.19,0.01,False
8.75,5,1.0,0.1,0.1,False
8.75,6,1.0,0.1,0.1,False
8.75,6,2.0,0.158,0.014,False
8.75,7,1.0,0.1,0.1,False
8.75,7,2.0,0.136,0.017,False
8.75,8,1.0,0.1,0.1,False
8.75,8,2.0,0.12,0.02,False
8.75,9,1.0,0.1,0.1,False
8.75,9,2.0,0.109,0.023,False
8.8,1,1.0,0.1,0.1,False
8.8,2,1.0,0.1,0.1,False
8.8,2,3.0,0.494,0.001,False
8.8,3,1.0,0.1,0.1,False
8.8,3,3.0,0.325,0.004,False
8.8,4,1.0,0.1,0.1,False
8.8,4,3.0,0.24,0.007,False
8.8,5,2.0,0.19,0.01,False
8.8,5,1.0,0.1,0.1,False
8.8,6,1.0,0.1,0.1,False
8.8,6,2.0,0.158,0.013,False
8.8,7,1.0,0.1,0.1,False
8.8,7,2.0,0.136,0.016,False
8.8,8,1.0,0.1,0.1,False
8.8,8,2.0,0.12,0.019,False
8.8,9,1.0,0.1,0.1,False
8.8,9,2.0,0.109,0.022,False
8.85,1,1.0,0.1,0.1,False
8.85,1,3.0,0.999,0.0,True
8.85,2,1.0,0.1,0.1,False
8.85,2,3.0,0.495,0.001,False
8.85,3,1.0,0.1,0.1,False
8.85,3,3.0,0.325,0.004,False
8.85,4,1.0,0.1,0.1,False
8.85,4,3.0,0.24,0.006,False
8.85,5,2.0,0.191,0.009,False
8.85,5,1.0,0.1,0.1,False
8.85,6,1.0,0.1,0.1,False
8.85,6,2.0,0.158,0.013,False
8.85,7,1.0,0.1,0.1,False
8.85,7,2.0,0.136,0.016,False
8.85,8,1.0,0.1,0.1,False
8.85,8,2.0,0.12,0.019,False
8.85,9,1.0,0.1,0.1,False
8.85,9,2.0,0.109,0.022,False
8.9,1,1.0,0.1,0.1,False
8.9,1,3.0,0.999,0.0,True
8.9,2,1.0,0.1,0.1,False
8.9,2,3.0,0.495,0.001,False
8.9,3,1.0,0.1,0.1,False
8.9,3,3.0,0.325,0.003,False
8.9,4,1.0,0.1,0.1,False
8.9,4,3.0,0.241,0.006,False
8.9,5,2.0,0.191,0.009,False
8.9,5,1.0,0.1,0.1,False
8.9,6,1.0,0.1,0.1,False
8.9,6,2.0,0.158,0.012,False
8.9,7,1.0,0.1,0.1,False
8.9,7,2.0,0.136,0.015,False
8.9,8,1.0,0.1,0.1,False
8.9,8,2.0,0.12,0.018,False
8.9,9,1.0,0.1,0.1,False
8.9,9,2.0,0.109,0.021,False
8.950000000000001,1,1.0,0.1,0.1,False
8.950000000000001,1,3.0,0.999,0.0,True
8.950000000000001,2,1.0,0.1,0.1,False
8.950000000000001,2,3.0,0.495,0.001,False
8.950000000000001,3,1.0,0.1,0.1,False
8.950000000000001,3,3.0,0.326,0.003,False
8.950000000000001,4,1.0,0.1,0.1,False
8.950000000000001,4,3.0,0.241,0.006,False
8.950000000000001,5,2.0,0.191,0.009,False
8.950000000000001,5,1.0,0.1,0.1,False
8.950000000000001,6,1.0,0.1,0.1,False
8.950000000000001,6,2.0,0.159,0.012,False
8.950000000000001,7,1.0,0.1,0.1,False
8.950000000000001,7,2.0,0.136,0.015,False
8.950000000000001,8,1.0,0.1,0.1,False
8.950000000000001,8,2.0,0.121,0.018,False
8.950000000000001,9,1.0,0.1,0.1,False
8.950000000000001,9,2.0,0.109,0.02,False
9.0,1,1.0,0.1,0.1,False
9.0,1,3.0,0.999,0.0,True
9.0,2,1.0,0.1,0.1,False
9.0,2,3.0,0.495,0.001,False
9.0,3,1.0,0.1,0.1,False
9.0,3,3.0,0.326,0.003,False
9.0,4,1.0,0.1,0.1,False
9.0,4,3.0,0.241,0.006,False
9.0,5,2.0,0.191,0.009,False
9.0,5,1.0,0.1,0.1,False
9.0,6,1.0,0.1,0.1,False
9.0,6,2.0,0.159,0.012,False
9.0,7,1.0,0.1,0.1,False
9.0,7,2.0,0.137,0.015,False
9.0,8,1.0,0.1,0.1,False
9.0,8,2.0,0.121,0.017,False
9.0,9,1.0,0.1,0.1,False
9.0,9,2.0,0.109,0.02,False
9.05,1,1.0,0.1,0.1,False
9.05,1,3.0,0.999,0.0,True
9.05,2,1.0,0.1,0.1,False
9.05,2,3.0,0.495,0.001,False
9.05,3,1.0,0.1,0.1,False
9.05,3,3.0,0.326,0.003,False
9.05,4,1.0,0.1,0.1,False
9.05,4,3.0,0.242,0.006,False
9.05,5,2.0,0.192,0.008,False
9.05,5,1.0,0.1,0.1,False
9.05,6,1.0,0.1,0.1,False
9.05,6,2.0,0.159,0.011,False
9.05,7,1.0,0.1,0.1,False
9.05,7,2.0,0.137,0.014,False
9.05,8,1.0,0.1,0.1,False
9.05,8,2.0,0.121,0.017,False
9.05,9,1.0,0.1,0.1,False
9.05,9,2.0,0.109,0.019,False
9.1,1,1.0,0.1,0.1,False
9.1,1,3.0,0.999,0.0,True
9.1,2,1.0,0.1,0.1,False
9.1,2,3.0,0.496,0.001,False
9.1,3,1.0,0.1,0.1,False
9.1,3,3.0,0.326,0.003,False
9.1,4,1.0,0.1,0.1,False
9.1,4,3.0,0.242,0.005,False
9.1,5,2.0,0.192,0.008,False
9.1,5,1.0,0.1,0.1,False
9.1,6,1.0,0.1,0.1,False
9.1,6,2.0,0.159,0.011,False
9.1,7,1.0,0.1,0.1,False
9.1,7,2.0,0.137,0.014,False
9.1,8,1.0,0.1,0.1,False
9.1,8,2.0,0.121,0.016,False
9.1,9,1.0,0.1,0.1,False
9.1,9,2.0,0.109,0.019,False
9.15,1,1.0,0.1,0.1,False
9.15,1,3.0,0.999,0.0,True
9.15,2,1.0,0.1,0.1,False
9.15,2,3.0,0.496,0.001,False
9.15,3,1.0,0.1,0.1,False
9.15,3,3.0,0.327,0.003,False
9.15,4,1.0,0.1,0.1,False
9.15,4,3.0,0.242,0.005,False
9.15,5,2.0,0.192,0.008,False
9.15,5,1.0,0.1,0.1,False
9.15,6,1.0,0.1,0.1,False
9.15,6,2.0,0.16,0.011,False
9.15,7,1.0,0.1,0.1,False
9.15,7,2.0,0.137,0.013,False
9.15,8,1.0,0.1,0.1,False
9.15,8,2.0,0.121,0.016,False
9.15,9,1.0,0.1,0.1,False
9.15,9,2.0,0.109,0.018,False
9.200000000000001,1,1.0,0.1,0.1,False
9.200000000000001,2,1.0,0.1,0.1,False
9.200000000000001,2,3.0,0.496,0.001,False
9.200000000000001,3,1.0,0.1,0.1,False
9.200000000000001,3,3.0,0.327,0.003,False
9.200000000000001,4,1.0,0.1,0.1,False
9.200000000000001,4,3.0,0.242,0.005,False
9.200000000000001,5,2.0,0.192,0.008,False
9.200000000000001,5,1.0,0.1,0.1,False
9.200000000000001,6,1.0,0.1,0.1,False
9.200000000000001,6,2.0,0.16,0.01,False
9.200000000000001,7,1.0,0.1,0.1,False
9.200000000000001,7,2.0,0.137,0.013,False
9.200000000000001,8,1.0,0.1,0.1,False
9.200000000000001,8,2.0,0.121,0.015,False
9.200000000000001,9,1.0,0.1,0.1,False
9.200000000000001,9,2.0,0.109,0.018,False
9.25,1,1.0,0.1,0.1,False
9.25,1,3.0,0.999,0.0,True
9.25,2,1.0,0.1,0.1,False
9.25,2,3.0,0.496,0.001,False
9.25,3,1.0,0.1,0.1,False
9.25,3,3.0,0.327,0.003,False
9.25,4,1.0,0.1,0.1,False
9.25,4,3.0,0.243,0.005,False
9.25,5,2.0,0.193,0.007,False
9.25,5,1.0,0.1,0.1,False
9.25,6,1.0,0.1,0.1,False
9.25,6,2.0,0.16,0.01,False
9.25,7,1.0,0.1,0.1,False
9.25,7,2.0,0.137,0.013,False
9.25,8,1.0,0.1,0.1,False
9.25,8,2.0,0.121,0.015,False
9.25,9,1.0,0.1,0.1,False
9.25,9,2.0,0.109,0.017,False
9.3,1,1.0,0.1,0.1,False
9.3,1,3.0,0.999,0.0,True
9.3,2,1.0,0.1,0.1,False
9.3,2,3.0,0.496,0.001,False
9.3,3,1.0,0.1,0.1,False
9.3,3,3.0,0.327,0.003,False
9.3,4,1.0,0.1,0.1,False
9.3,4,3.0,0.243,0.005,False
9.3,5,2.0,0.193,0.007,False
9.3,5,1.0,0.1,0.1,False
9.3,6,1.0,0.1,0.1,False
9.3,6,2.0,0.16,0.01,False
9.3,7,1.0,0.1,0.1,False
9.3,7,2.0,0.138,0.012,False
9.3,8,1.0,0.1,0.1,False
9.3,8,2.0,0.121,0.015,False
9.3,9,1.0,0.1,0.1,False
9.3,9,2.0,0.109,0.017,False
9.35,1,1.0,0.1,0.1,False
9.35,1,3.0,0.999,0.0,True
9.35,2,1.0,0.1,0.1,False
9.35,2,3.0,0.496,0.001,False
9.35,3,1.0,0.1,0.1,False
9.35,3,3.0,0.328,0.002,False
9.35,4,1.0,0.1,0.1,False
9.35,4,3.0,0.243,0.005,False
9.35,5,2.0,0.193,0.007,False
9.35,5,1.0,0.1,0.1,False
9.35,6,1.0,0.1,0.1,False
9.35,6,2.0,0.16,0.009,False
9.35,7,1.0,0.1,0.1,False
9.35,7,2.0,0.138,0.012,False
9.35,8,1.0,0.1,0.1,False
9.35,8,2.0,0.121,0.014,False
9.35,9,1.0,0.1,0.1,False
9.35,9,2.0,0.109,0.017,False
9.4,1,1.0,0.1,0.1,False
9.4,1,3.0,0.999,0.0,True
9.4,2,1.0,0.1,0.1,False
9.4,2,3.0,0.497,0.001,False
9.4,3,1.0,0.1,0.1,False
9.4,3,3.0,0.328,0.002,False
9.4,4,1.0,0.1,0.1,False
9.4,4,3.0,0.243,0.004,False
9.4,5,2.0,0.193,0.007,False
9.4,5,1.0,0.1,0.1,False
9.4,6,1.0,0.1,0.1,False
9.4,6,2.0,0.161,0.009,False
9.4,7,1.0,0.1,0.1,False
9.4,7,2.0,0.138,0.012,False
9.4,8,1.0,0.1,0.1,False
9.4,8,2.0,0.122,0.014,False
9.4,9,1.0,0.1,0.1,False
9.4,9,2.0,0.109,0.016,False
9.450000000000001,1,1.0,0.1,0.1,False
9.450000000000001,1,3.0,0.999,0.0,True
9.450000000000001,2,1.0,0.1,0.1,False
9.450000000000001,2,3.0,0.497,0.001,False
9.450000000000001,3,1.0,0.1,0.1,False
9.450000000000001,3,3.0,0.328,0.002,False
9.450000000000001,4,1.0,0.1,0.1,False
9.450000000000001,4,3.0,0.244,0.004,False
9.450000000000001,5,2.0,0.194,0.006,False
9.450000000000001,5,1.0,0.1,0.1,False
9.450000000000001,6,1.0,0.1,0.1,False
9.450000000000001,6,2.0,0.161,0.009,False
9.450000000000001,7,1.0,0.1,0.1,False
9.450000000000001,7,2.0,0.138,0.011,False
9.450000000000001,8,1.0,0.1,0.1,False
9.450000000000001,8,2.0,0.122,0.014,False
9.450000000000001,9,1.0,0.1,0.1,False
9.450000000000001,9,2.0,0.109,0.016,False
9.5,1,1.0,0.1,0.1,False
9.5,1,3.0,0.999,0.0,True
9.5,2,1.0,0.1,0.1,False
9.5,2,3.0,0.497,0.001,False
9.5,3,1.0,0.1,0.1,False
9.5,3,3.0,0.328,0.002,False
9.5,4,1.0,0.1,0.1,False
9.5,4,3.0,0.244,0.004,False
9.5,5,2.0,0.194,0.006,False
9.5,5,1.0,0.1,0.1,False
9.5,6,1.0,0.1,0.1,False
9.5,6,2.0,0.161,0.009,False
9.5,7,1.0,0.1,0.1,False
9.5,7,2.0,0.138,0.011,False
9.5,8,1.0,0.1,0.1,False
9.5,8,2.0,0.122,0.013,False
9.5,9,1.0,0.1,0.1,False
9.5,9,2.0,0.109,0.015,False
9.55,1,1.0,0.1,0.1,False
9.55,2,1.0,0.1,0.1,False
9.55,2,3.0,0.497,0.001,False
9.55,3,1.0,0.1,0.1,False
9.55,3,3.0,0.328,0.002,False
9.55,4,1.0,0.1,0.1,False
9.55,4,3.0,0.244,0.004,False
9.55,5,2.0,0.194,0.006,False
9.55,5,1.0,0.1,0.1,False
9.55,6,1.0,0.1,0.1,False
9.55,6,2.0,0.161,0.008,False
9.55,7,1.0,0.1,0.1,False
9.55,7,2.0,0.138,0.011,False
9.55,8,1.0,0.1,0.1,False
9.55,8,2.0,0.122,0.013,False
9.55,9,1.0,0.1,0.1,False
9.55,9,2.0,0.109,0.015,False
9.600000000000001,1,1.0,0.1,0.1,False
9.600000000000001,1,3.0,0.999,0.0,True
9.600000000000001,2,1.0,0.1,0.1,False
9.600000000000001,2,3.0,0.497,0.001,False
9.600000000000001,3,1.0,0.1,0.1,False
9.600000000000001,3,3.0,0.328,0.002,False
9.600000000000001,4,1.0,0.1,0.1,False
9.600000000000001,4,3.0,0.244,0.004,False
9.600000000000001,5,2.0,0.194,0.006,False
9.600000000000001,5,1.0,0.1,0.1,False
9.600000000000001,6,1.0,0.1,0.1,False
9.600000000000001,6,2.0,0.161,0.008,False
9.600000000000001,7,1.0,0.1,0.1,False
9.600000000000001,7,2.0,0.138,0.01,False
9.600000000000001,8,1.0,0.1,0.1,False
9.600000000000001,8,2.0,0.122,0.012,False
9.600000000000001,9,1.0,0.1,0.1,False
9.600000000000001,9,2.0,0.109,0.015,False
9.65,1,1.0,0.1,0.1,False
9.65,2,1.0,0.1,0.1,False
9.65,2,3.0,0.497,0.001,False
9.65,3,1.0,0.1,0.1,False
9.65,3,3.0,0.329,0.002,False
9.65,4,1.0,0.1,0.1,False
9.65,4,3.0,0.244,0.004,False
9.65,5,2.0,0.194,0.006,False
9.65,5,1.0,0.1,0.1,False
9.65,6,1.0,0.1,0.1,False
9.65,6,2.0,0.161,0.008,False
9.65,7,1.0,0.1,0.1,False
9.65,7,2.0,0.139,0.01,False
9.65,8,1.0,0.1,0.1,False
9.65,8,2.0,0.122,0.012,False
9.65,9,1.0,0.1,0.1,False
9.65,9,2.0,0.11,0.014,False
9.700000000000001,1,1.0,0.1,0.1,False
9.700000000000001,1,3.0,0.999,0.0,True
9.700000000000001,2,1.0,0.1,0.1,False
9.700000000000001,2,3.0,0.497,0.001,False
9.700000000000001,3,1.0,0.1,0.1,False
9.700000000000001,3,3.0,0.329,0.002,False
9.700000000000001,4,1.0,0.1,0.1,False
9.700000000000001,4,3.0,0.245,0.004,False
9.700000000000001,5,2.0,0.194,0.006,False
9.700000000000001,5,1.0,0.1,0.1,False
9.700000000000001,6,1.0,0.1,0.1,False
9.700000000000001,6,2.0,0.162,0.008,False
9.700000000000001,7,1.0,0.1,0.1,False
9.700000000000001,7,2.0,0.139,0.01,False
9.700000000000001,8,1.0,0.1,0.1,False
9.700000000000001,8,2.0,0.122,0.012,False
9.700000000000001,9,1.0,0.1,0.1,False
9.700000000000001,9,2.0,0.11,0.014,False
9.75,1,1.0,0.1,0.1,False
9.75,1,3.0,0.999,0.0,True
9.75,2,1.0,0.1,0.1,False
9.75,2,3.0,0.497,0.001,False
9.75,3,1.0,0.1,0.1,False
9.75,3,3.0,0.329,0.002,False
9.75,4,1.0,0.1,0.1,False
9.75,4,3.0,0.245,0.004,False
9.75,5,2.0,0.195,0.005,False
9.75,5,1.0,0.1,0.1,False
9.75,6,1.0,0.1,0.1,False
9.75,6,2.0,0.162,0.007,False
9.75,7,1.0,0.1,0.1,False
9.75,7,2.0,0.139,0.009,False
9.75,8,1.0,0.1,0.1,False
9.75,8,2.0,0.122,0.012,False
9.75,9,1.0,0.1,0.1,False
9.75,9,2.0,0.11,0.013,False
9.8,1,1.0,0.1,0.1,False
9.8,1,3.0,0.999,0.0,True
9.8,2,1.0,0.1,0.1,False
9.8,2,3.0,0.497,0.001,False
9.8,3,1.0,0.1,0.1,False
9.8,3,3.0,0.329,0.002,False
9.8,4,1.0,0.1,0.1,False
9.8,4,3.0,0.245,0.003,False
9.8,5,2.0,0.195,0.005,False
9.8,5,1.0,0.1,0.1,False
9.8,6,1.0,0.1,0.1,False
9.8,6,2.0,0.162,0.007,False
9.8,7,1.0,0.1,0.1,False
9.8,7,2.0,0.139,0.009,False
9.8,8,1.0,0.1,0.1,False
9.8,8,2.0,0.122,0.011,False
9.8,9,1.0,0.1,0.1,False
9.8,9,2.0,0.11,0.013,False
9.850000000000001,1,1.0,0.1,0.1,False
9.850000000000001,1,3.0,0.999,0.0,True
9.850000000000001,2,1.0,0.1,0.1,False
9.850000000000001,2,3.0,0.498,0.001,False
9.850000000000001,3,1.0,0.1,0.1,False
9.850000000000001,3,3.0,0.329,0.002,False
9.850000000000001,4,1.0,0.1,0.1,False
9.850000000000001,4,3.0,0.245,0.003,False
9.850000000000001,5,2.0,0.195,0.005,False
9.850000000000001,5,1.0,0.1,0.1,False
9.850000000000001,6,1.0,0.1,0.1,False
9.850000000000001,6,2.0,0.162,0.007,False
9.850000000000001,7,1.0,0.1,0.1,False
9.850000000000001,7,2.0,0.139,0.009,False
9.850000000000001,8,1.0,0.1,0.1,False
9.850000000000001,8,2.0,0.122,0.011,False
9.850000000000001,9,1.0,0.1,0.1,False
9.850000000000001,9,2.0,0.11,0.013,False
9.9,1,1.0,0.1,0.1,False
9.9,1,3.0,1.0,0.0,True
9.9,2,1.0,0.1,0.1,False
9.9,2,3.0,0.498,0.001,False
9.9,3,1.0,0.1,0.1,False
9.9,3,3.0,0.329,0.002,False
9.9,4,1.0,0.1,0.1,False
9.9,4,3.0,0.245,0.003,False
9.9,5,2.0,0.195,0.005,False
9.9,5,1.0,0.1,0.1,False
9.9,6,1.0,0.1,0.1,False
9.9,6,2.0,0.162,0.007,False
9.9,7,1.0,0.1,0.1,False
9.9,7,2.0,0.139,0.009,False
9.9,8,1.0,0.1,0.1,False
9.9,8,2.0,0.122,0.011,False
9.9,9,1.0,0.1,0.1,False
9.9,9,2.0,0.11,0.012,False
9.950000000000001,1,1.0,0.1,0.1,False
9.950000000000001,1,3.0,1.0,0.0,True
9.950000000000001,2,1.0,0.1,0.1,False
9.950000000000001,2,3.0,0.498,0.001,False
9.950000000000001,3,1.0,0.1,0.1,False
9.950000000000001,3,3.0,0.33,0.002,False
9.950000000000001,4,1.0,0.1,0.1,False
9.950000000000001,4,3.0,0.245,0.003,False
9.950000000000001,5,2.0,0.195,0.005,False
9.950000000000001,5,1.0,0.1,0.1,False
9.950000000000001,6,1.0,0.1,0.1,False
9.950000000000001,6,2.0,0.162,0.007,False
9.950000000000001,7,1.0,0.1,0.1,False
9.950000000000001,7,2.0,0.139,0.009,False
9.950000000000001,8,1.0,0.1,0.1,False
9.950000000000001,8,2.0,0.122,0.01,False
9.950000000000001,9,1.0,0.1,0.1,False
9.950000000000001,9,2.0,0.11,0.012,False
10.0,1,1.0,0.1,0.1,False
10.0,1,3.0,1.0,0.0,True
